541686    T8H0C1     5356711133242ABESSO Sherwood Park            28 Strathmoor Dr              Sherwood Park  7809459559S0016      0000           541686        5001          202406023.96652.85720.11410.39600.07641.02030.0470R0.37070000000000000000000000000
232004    T8H2G9     5356701133177ABFlying J #786                 50 Pembina Rd                 Sherwood Park  7804162035S0016      0000           232004        5001          202406034.55962.85720.11410.39630.01541.05200.1553R0.37070000000000000000000000000
520089    T0G2A0     5526921147721ABPetro Canada                  Hwy 2 & 88                    Slave Lake     7808493820S0002      0000           520089        5001          202406034.34632.85720.11410.39600.16481.15350.0862R0.37070000000000000000000000000
520088    T0G2A0     5529191147601ABPetro Canada                  701 - 12 Avenue               Slave Lake     7808493820S0088      0000           520088        5001          202406034.34632.85720.11410.39600.16571.15350.0862R0.37070000000000000000000000000
520090    T0C2L0     5232281126802ABPetro Canada                  3803 - 47 Avenue              Stettler       4037425300S0012      0000           520090        5001          202406034.39742.85720.11410.39600.13541.17140.1041R0.37070000000000000000000000000
520091    T1P1B8     5103821133898ABPetro Canada                  100 Ridge Road                Strathmore     4039343512 0000     S0001           520091        5000          202406034.41762.94850.11410.39760.09241.17850.0776R0.37070000000000000000000000000
505100     T1P1B     5103871134000ABESSO STRATHMORE RIDGE RD      436 Ridge Road                Strathmore     4039343522 0000     S0001           505100        5000          202406034.11192.94850.11410.39760.08981.07130.0627R0.37070000000000000000000000000
520092    T0M1X0     5179471146635ABPetro Canada                  Jct. Hwy 22 & Hwy 586         Sundre         4036384930S0022      0000           520092        5000          202406034.40022.94850.11410.39760.11091.17240.0715R0.37070000000000000000000000000
520093    T1G1X5     4979171121276ABPetro Canada                  Hwy #36 N.                    Taber          4032232065S0036      0000           520093        5000          202406034.47042.94850.11410.39760.17341.19700.0961R0.37070000000000000000000000000
520094    T0M2A0     5170691132550ABPetro Canada                  1221 - 2nd Street North       Three Hills    4034435770 0000     S0021           520094        5000          202406034.39762.94850.11410.39760.11411.17150.0706R0.37070000000000000000000000000
520096    T0H3N0     5505111172802ABPetro Canada                  Highway #43                   Valleyview     7805243532 0000     S0043           520096        5001          202406034.41682.85720.11410.39600.26411.17820.1109R0.37070000000000000000000000000
528570    T0H3N0     5505161172823ABPilot TC #1200                3806 Highway St               Valleyview     7805244666 0000     S0043           528570        5001          202406014.95882.87350.11410.39790.09271.08640.2609R0.37070000000000000000000000000
520097    T9C1S1     5349221120460ABPetro Canada                  4744-51 Ave Hwy16a & 47th St. Vegreville     7806324987S0016      0000           520097        5001          202406034.38852.85720.11410.39600.13401.16830.1010R0.37070000000000000000000000000
520098    T9X1A5     5335021108565ABPetro Canada                  5105 - 47 Ave.                Vermilion      7808535084S0016      0000           520098        5001          202406034.39542.85720.11410.39600.19561.17070.1034R0.37070000000000000000000000000
520099    T0B4N0     5309491117833ABPetro Canada                  5207-51st Ave                 Viking         7803363400S0014      0000           520099        5001          202406034.39542.85720.11410.39600.15081.17070.1034R0.37070000000000000000000000000
520100    T0L2B0     5040641132551ABPetro Canada                  Hwy 23, 108 Service Rd        Vulcan         4034856905 0000     S0023           520100        5000          202406034.43022.94850.11410.39760.10721.18290.0820R0.37070000000000000000000000000
520101    T7P2C6     5415301138445ABPetro Canada                  10560 - 100 Street            Westlock       7803494438S0018      0000           520101        5001          202406034.40712.85720.11410.39600.09101.17480.1075R0.37070000000000000000000000000
520102    T9A1V9     5297201133906ABPetro Canada                  5020 - 56 Street              Wetaskiwin     7803527191S0002      0000           520102        5001          202406034.38452.85720.11410.39600.09011.16690.0996R0.37070000000000000000000000000
544912    T0J1X0     5103561136191ABESSO WHEATLAND COUNTY                                       WHEATLAND COUNT2508854731S0000      0000           544912        5000          202406024.11192.94850.11410.34390.17991.07130.0390R0.37070000000000000000000000000
520103    T7S1N5     5413121156667ABPetro Canada                  4135 - 42 Street              Whitecourt     7807782346 0000     S0043           520103        5001          202406034.43042.85720.11410.39600.17021.18300.1157R0.37070000000000000000000000000
520104    T7S1N5     5414491157127ABPetro Canada                  5503 Kepler Street West       Whitecourt     7807782346 0000     S0043           520104        5001          202406034.43042.85720.11410.39600.17341.18300.1157R0.37070000000000000000000000000
232015    T7S1G6     5413691156953ABFlying J #824                 5329 Govenlock Mountain Rd    Whitecourt     7807783073 0000     S0043           232015        5001          202406034.84482.85720.11410.39730.07131.07260.2347R0.37070000000000000000000000000
515264     363106392 315673 852196ALJP's General Store            3679 State Highway 10 E       Abbeville      3345850019S0010      0000           515264        0020          202405293.60902.54760.25020.31750.02673.30900.4937R0.30000000000000000000000000000
519735     363102622 316326 852793ALCitgo Food Mart #109          2752 US Highway 431 S         Abbeville      3345853066 0000     U0027           519735        0050          202405313.99902.53550.25020.31750.03253.69900.8633R0.30000000000000000000000000000
544483     35007     338430 868181ALRACETRAC #2595                550 US -31                    Alabaster      7704317600 0000     I0065           544483        0615 264      202406033.19902.40640.25020.31750.06002.89900.1649R0.30000000000000000000000000000
776670     35010     329442 859839ALPAC-98202                     1467 US -280                  Alexander City            0000      0000           776670        0720          202405283.81802.48770.25020.31750.03983.51800.7626R0.30000000000000000000000000000
513149     364211934 313086 865400ALSun Stop #612                 11183 Us Highway 84           Andalusia                U0084      0000           513149        0720          202406023.75902.44380.25020.31750.02113.45900.7264R0.30000000000000000000000000000
516486     36312     311813 852515ALSun Valley Market #625        9415 US -84                   Ashford        3348991373U0084      0000           516486        0020          202406033.69902.50240.25020.31750.02323.39900.6289R0.30000000000000000000000000000
518455     36502     310884 875428ALCreek Travel Plaza            4740 Jack Springs Rd          Atmore         2513680088 0000     I0065           518455        0715  54      202406033.37902.45460.25020.31750.06613.05900.2906R0.30000000000000000000000000000
505647     352341500 335514 867828ALKangaroo Express #3672        1700 Tallapoosa St            Birmingham     2058083879I0020      0000      128  505647        0615          202406033.65902.40640.25020.31750.05083.35900.6341R0.30000000000000000000000000000
548351     352341050 335419 868251ALCIRCLE K #2709337             1901 Finley Blvd              Birmingham     2053248874 0000     I0065           548351        0615262B      202406033.75902.40640.25020.31750.01523.45900.7597R0.30000000000000000000000000000
776623     35209     334436 868413ALPAC-98207                     200 WEST OXMOOR ROAD          BIRMINGHAM                0000      0000           776623        0587          202406033.70102.45080.25020.31750.02273.40100.6598R0.30000000000000000000000000000
231859     352072537 335617 868318ALFlying J #602                 224 41st Ave N                Birmingham     2053232177 0000     I0065           231859        0615 264      202406033.69902.40640.25020.32490.04752.66870.6601R0.30000000000000000000000000000
776622     35203     335301 867963ALPAC-98208                     917 31ST STREET N.            BIRMINGHAM                0000      0000           776622        0587          202406013.70602.45840.25020.31750.02053.40600.6594R0.30000000000000000000000000000
